"maSum" "id" "sire" "mastitis" "birth" "herd" "fresh" "dim" "logDim" "ord"
"0" "HOUSA0001269264" "HOCAN0000003836" "0" "1998" "23070233" "2001" 455 6.120297419 7
"0" "HOUSA0000146876" "HOCAN0000003836" "0" "1991" "35430024" "2004" 330 5.7990926545 7
"0" "HOUSA00035LDE05" "HOCAN0000003836" "0" "2000" "41220175" "2002" 330 5.7990926545 7
"0" "HOUSA00093VAX76" "HOCAN0000003836" "0" "1995" "93241097" "2003" 330 5.7990926545 7
"0" "HOUSA00093VDX07" "HOCAN0000003836" "0" "1995" "93241097" "2003" 330 5.7990926545 7
"0" "HOUSA00093WTG02" "HOCAN0000003836" "0" "1995" "93241097" "2002" 330 5.7990926545 7
"0" "HOUSA0001258307" "HOCAN0000003845" "0" "1998" "23070233" "2001" 330 5.7990926545 7
"0" "HOUSA00023DTX50" "HOCAN0000003845" "0" "1993" "23070315" "2002" 330 5.7990926545 7
"0" "HOUSA0000180007" "HOCAN0000003845" "0" "1997" "23490093" "2003" 330 5.7990926545 7
"0" "HOUSA0001295101" "HOCAN0000003845" "0" "2000" "23490093" "2002" 330 5.7990926545 7
"1" "HOUSA0001288065" "HOCAN0000003845" "1" "1999" "35360829" "2004" 330 5.7990926545 7
"0" "HOUSA0000152518" "HOCAN0000003845" "0" "1993" "35560027" "2002" 265 5.579729826 7
"0" "HOUSA0000600025" "HOCAN0000003845" "0" "2000" "35560027" "2002" 535 6.2822667469 7
"0" "HOCAN0000106372" "HOCAN0000003924" "0" "1999" "21180443" "2002" 330 5.7990926545 15
"0" "HOUSA0001285811" "HOCAN0000003924" "0" "1999" "21180524" "2002" 303 5.7137328055 15
"0" "HOUSA00021ZCF39" "HOCAN0000003924" "0" "1996" "21180524" "2002" 330 5.7990926545 15
"0" "HOUSA0000603434" "HOCAN0000003924" "0" "2000" "23070233" "2002" 308 5.730099783 15
"0" "HOUSA0001318278" "HOCAN0000003924" "0" "2001" "31864510" "2004" 24 3.1780538303 15
"0" "HOUSA0001318278" "HOCAN0000003924" "0" "2001" "31864519" "2004" 343 5.8377304472 15
"0" "HOUSA0000158095" "HOCAN0000003924" "0" "1995" "35490074" "2004" 181 5.1984970313 15
"0" "HOUSA0000180132" "HOCAN0000003924" "0" "1997" "35490074" "2004" 321 5.7714411231 15
"0" "HOUSA0001224969" "HOCAN0000003924" "0" "1998" "35490074" "2004" 296 5.6903594543 15
"0" "HOUSA0001212866" "HOCAN0000003924" "0" "1998" "35530023" "2003" 438 6.0822189104 15
"0" "HOUSA0000600025" "HOCAN0000003924" "0" "2000" "35560027" "2002" 330 5.7990926545 15
"0" "HOUSA0000618448" "HOCAN0000003924" "0" "1999" "41220175" "2002" 330 5.7990926545 15
"2" "HOUSA0001217399" "HOCAN0000003924" "1" "1997" "41307070" "2003" 330 5.7990926545 15
"0" "HOUSA0001244121" "HOCAN0000003924" "0" "1998" "41320139" "2001" 330 5.7990926545 15
"1" "HOUSA0001209322" "HOCAN0000003924" "1" "1998" "93540587" "2000" 330 5.7990926545 15
"0" "HOUSA0001290117" "HOCAN0000003956" "0" "1999" "21110751" "2002" 409 6.013715156 28
"0" "HOUSA0000601293" "HOCAN0000003956" "0" "2000" "23280344" "2003" 371 5.9162020626 28
"1" "HOUSA0000603872" "HOCAN0000003956" "1" "2000" "23280344" "2004" 330 5.7990926545 28
"0" "HOUSA0000605186" "HOCAN0000003956" "0" "2001" "23280344" "2003" 307 5.7268477476 28
"0" "HOUSA0000605187" "HOCAN0000003956" "0" "2001" "23280344" "2003" 390 5.9661467391 28
"0" "HOUSA0000605187" "HOCAN0000003956" "0" "2001" "23280344" "2003" 424 6.0497334552 28
"0" "HOUSA00023EEL66" "HOCAN0000003956" "0" "2000" "23280344" "2003" 317 5.7589017739 28
"0" "HOUSA00023EFE97" "HOCAN0000003956" "0" "2001" "23280344" "2003" 298 5.6970934865 28
"0" "HOUSA0000173206" "HOCAN0000003956" "0" "1996" "35221894" "2003" 330 5.7990926545 28
"0" "HOCAN0000062772" "HOCAN0000003956" "0" "1994" "35460100" "2002" 330 5.7990926545 28
"0" "HOCAN0000065209" "HOCAN0000003956" "0" "1995" "35460100" "2002" 406 6.0063531596 28
"0" "HOCAN0000066394" "HOCAN0000003956" "0" "1996" "35460100" "2001" 471 6.154858094 28
"0" "HOCAN0000066466" "HOCAN0000003956" "0" "1996" "35460100" "2001" 420 6.0402547113 28
"0" "HOCAN0000066694" "HOCAN0000003956" "0" "1996" "35460100" "2002" 345 5.843544417 28
"0" "HOCAN0000066956" "HOCAN0000003956" "0" "1996" "35460100" "2001" 200 5.2983173665 28
"0" "HOUSA00035WSW27" "HOCAN0000003956" "0" "1996" "35460100" "2001" 381 5.9427993751 28
"0" "HOUSA0000156968" "HOCAN0000003956" "0" "1995" "35530023" "2002" 335 5.8141305318 28
"1" "HOUSA0000159855" "HOCAN0000003956" "1" "1995" "35530023" "2002" 323 5.7776523232 28
"0" "HOUSA0000173270" "HOCAN0000003956" "0" "1996" "35530023" "2001" 626 6.4393503711 28
"0" "HOUSA0000173270" "HOCAN0000003956" "0" "1997" "35530023" "2002" 308 5.730099783 28
"0" "HOUSA0000173752" "HOCAN0000003956" "0" "1996" "35530023" "2001" 411 6.0185932145 28
"0" "HOUSA0000173755" "HOCAN0000003956" "0" "1996" "35530023" "2002" 460 6.1312264895 28
"0" "HOUSA0000173755" "HOCAN0000003956" "0" "1997" "35530023" "2002" 380 5.9401712527 28
"2" "HOUSA0000504937" "HOCAN0000003956" "1" "1999" "41220175" "2001" 330 5.7990926545 28
"0" "HOUSA0000523953" "HOCAN0000003956" "0" "2001" "41220175" "2004" 330 5.7990926545 28
"0" "HOUSA0000610398" "HOCAN0000003956" "0" "2003" "51030081" "2004" 330 5.7990926545 28
"0" "HOUSA0002071508" "HOCAN0000003956" "0" "2000" "51030081" "2002" 364 5.8971538676 28
"2" "HOUSA0000602942" "HOCAN0000003956" "1" "2000" "74150763" "2002" 330 5.7990926545 28
"0" "HOUSA00023EEL66" "HOCAN0000003977" "0" "2000" "23280344" "2002" 519 6.2519038832 22
"0" "HOUSA0001204207" "HOCAN0000003977" "0" "1997" "35530023" "2002" 491 6.1964441278 22
"2" "HOUSA0001264055" "HOCAN0000003977" "1" "1999" "35600515" "2002" 409 6.013715156 22
"0" "HOUSA0001264056" "HOCAN0000003977" "0" "1999" "35600515" "2002" 505 6.2245584293 22
"0" "HOUSA0001264056" "HOCAN0000003977" "0" "1999" "35600515" "2002" 289 5.6664266881 22
"2" "HOUSA0001264060" "HOCAN0000003977" "1" "2000" "35600515" "2003" 454 6.118097198 22
"0" "HOUSA0001264061" "HOCAN0000003977" "0" "2000" "35600515" "2003" 298 5.6970934865 22
"2" "HOUSA00035WTE14" "HOCAN0000003977" "1" "1997" "35600515" "2003" 223 5.4071717715 22
"1" "HOUSA0000504491" "HOCAN0000003977" "1" "2000" "41220175" "2002" 330 5.7990926545 22
"0" "HOUSA0000504934" "HOCAN0000003977" "0" "1999" "41220175" "2001" 330 5.7990926545 22
"0" "HOUSA0000505077" "HOCAN0000003977" "0" "2000" "41220175" "2002" 533 6.2785214242 22
"1" "HOUSA0000514427" "HOCAN0000003977" "1" "2000" "41220175" "2002" 524 6.2614916843 22
"0" "HOUSA00082VLB15" "HOCAN0000003977" "0" "1998" "82114503" "2004" 330 5.7990926545 22
"1" "HOUSA0000600363" "HOCAN0000003977" "1" "1999" "93540587" "2001" 94 4.5432947823 22
"0" "HOUSA0000600363" "HOCAN0000003977" "0" "1999" "93540587" "2001" 556 6.3207682943 22
"0" "HOUSA0000600364" "HOCAN0000003977" "0" "1999" "93540587" "2001" 255 5.5412635452 22
"0" "HOUSA0000600365" "HOCAN0000003977" "0" "1999" "93540587" "2001" 330 5.7990926545 22
"0" "HOUSA0000600365" "HOCAN0000003977" "0" "1999" "93540587" "2002" 645 6.4692503168 22
"0" "HOUSA0000600366" "HOCAN0000003977" "0" "1999" "93540587" "2002" 184 5.2149357576 22
"0" "HOUSA0000602161" "HOCAN0000003977" "0" "2000" "93540587" "2002" 322 5.7745515455 22
"0" "HOUSA0000602162" "HOCAN0000003977" "0" "2000" "93540587" "2002" 291 5.6733232672 22
"0" "HOUSA0000602162" "HOCAN0000003977" "0" "2000" "93540587" "2002" 408 6.0112671744 22
"0" "HOUSA0001323900" "HOCAN0000003984" "0" "2000" "21180524" "2002" 467 6.1463292577 5
"0" "HOUSA0001290097" "HOCAN0000003984" "0" "1999" "35310605" "2002" 311 5.7397929122 5
"0" "HOCAN0000063944" "HOCAN0000003984" "0" "1995" "35460100" "2002" 330 5.7990926545 5
"1" "HOCAN0000080494" "HOCAN0000003984" "1" "1996" "35460100" "2001" 430 6.0637852087 5
"1" "HOUSA0001297881" "HOCAN0000003984" "1" "1999" "51030081" "2003" 330 5.7990926545 5
"0" "HOCAN0000065999" "HOCAN0000004006" "0" "1996" "35460100" "2001" 300 5.7037824747 6
"2" "HOCAN0000066071" "HOCAN0000004006" "1" "1996" "35460100" "2002" 338 5.8230458955 6
"0" "HOCAN0000066276" "HOCAN0000004006" "0" "1996" "35460100" "2001" 495 6.2045577626 6
"0" "HOCAN0000066783" "HOCAN0000004006" "0" "1996" "35460100" "2001" 322 5.7745515455 6
"0" "HOUSA00035WSW27" "HOCAN0000004006" "0" "1996" "35460100" "2001" 465 6.1420374056 6
"0" "HOUSA0000603983" "HOCAN0000004006" "0" "2001" "35490720" "2003" 313 5.7462031905 6
"0" "HOUSA0000602071" "HOCAN0000004056" "0" "2000" "35231609" "2003" 279 5.6312117818 46
"0" "HOUSA0000602071" "HOCAN0000004056" "0" "2000" "35231609" "2004" 295 5.6869753563 46
"0" "HOCAN0000067711" "HOCAN0000004056" "0" "1996" "35460100" "2002" 430 6.0637852087 46
"0" "HOUSA0000505078" "HOCAN0000004056" "0" "2000" "41220175" "2002" 433 6.070737728 46
"0" "HOUSA0000514427" "HOCAN0000004056" "0" "2000" "41220175" "2002" 384 5.9506425526 46
"2" "HOUSA0000515873" "HOCAN0000004056" "1" "2000" "41220175" "2002" 310 5.7365722975 46
"0" "HOUSA0001292038" "HOCAN0000004056" "0" "2000" "51030081" "2002" 128 4.8520302639 46
"0" "HOUSA0001299468" "HOCAN0000004056" "0" "2000" "51030081" "2002" 292 5.6767538023 46
"0" "HOUSA0000600368" "HOCAN0000004056" "0" "2000" "93540587" "2002" 559 6.3261494732 46
"0" "HOUSA0000600368" "HOCAN0000004056" "0" "2000" "93540587" "2002" 522 6.2576675879 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 330 5.7990926545 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 288 5.6629604801 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 562 6.3315018499 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 41 3.7135720667 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 150 5.0106352941 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 330 5.7990926545 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 299 5.7004435734 46
"0" "HOUSA0000600369" "HOCAN0000004056" "0" "2000" "93540587" "2002" 475 6.163314804 46
"0" "HOUSA0000600370" "HOCAN0000004056" "0" "2000" "93540587" "2002" 621 6.4313310819 46
"0" "HOUSA0000600370" "HOCAN0000004056" "0" "2000" "93540587" "2002" 276 5.6204008657 46
"0" "HOUSA0000600370" "HOCAN0000004056" "0" "2000" "93540587" "2002" 296 5.6903594543 46
"0" "HOUSA0000602159" "HOCAN0000004056" "0" "2000" "93540587" "2002" 375 5.926926026 46
"0" "HOUSA0000602159" "HOCAN0000004056" "0" "2000" "93540587" "2002" 264 5.5759491031 46
"0" "HOUSA0000602159" "HOCAN0000004056" "0" "2000" "93540587" "2002" 348 5.8522024798 46
"0" "HOUSA0000602159" "HOCAN0000004056" "0" "2000" "93540587" "2002" 284 5.6489742382 46
"1" "HOUSA0000602161" "HOCAN0000004056" "1" "2000" "93540587" "2002" 448 6.1047932324 46
"0" "HOUSA0000602161" "HOCAN0000004056" "0" "2000" "93540587" "2002" 382 5.9454206086 46
"0" "HOUSA0000602161" "HOCAN0000004056" "0" "2000" "93540587" "2002" 278 5.6276211137 46
"0" "HOUSA0000602161" "HOCAN0000004056" "0" "2000" "93540587" "2002" 358 5.8805329864 46
"0" "HOUSA0000602162" "HOCAN0000004056" "0" "2000" "93540587" "2002" 337 5.8200829304 46
"0" "HOUSA0000602162" "HOCAN0000004056" "0" "2000" "93540587" "2002" 436 6.0776422433 46
"0" "HOUSA0000602162" "HOCAN0000004056" "0" "2000" "93540587" "2002" 321 5.7714411231 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 295 5.6869753563 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 180 5.1929568509 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 572 6.3491389914 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 322 5.7745515455 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 393 5.9738096119 46
"0" "HOUSA0000602163" "HOCAN0000004056" "0" "2000" "93540587" "2002" 312 5.7430031878 46
"1" "HOUSA0000602163" "HOCAN0000004056" "1" "2000" "93540587" "2002" 502 6.2186001197 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2003" 189 5.2417470151 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 418 6.0354814325 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 289 5.6664266881 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 291 5.6733232672 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 292 5.6767538023 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 320 5.7683209958 46
"0" "HOUSA0000602164" "HOCAN0000004056" "0" "2000" "93540587" "2002" 298 5.6970934865 46
"0" "HOUSA00021ZGA06" "HOCAN0000052799" "0" "1999" "21530411" "2001" 314 5.7493929859 23
"0" "HOUSA00021ZGA06" "HOCAN0000052799" "0" "1999" "21530411" "2002" 557 6.3225652399 23
"0" "HOUSA00023EFE48" "HOCAN0000052799" "0" "2001" "23280344" "2003" 277 5.6240175062 23
"0" "HOCAN0000082380" "HOCAN0000052799" "0" "2000" "23490093" "2003" 379 5.9375362051 23
"0" "HOCAN0000082507" "HOCAN0000052799" "0" "2000" "23490093" "2002" 302 5.7104270174 23
"0" "HOCAN0000090560" "HOCAN0000052799" "0" "1999" "23490093" "2001" 330 5.7990926545 23
"0" "HOCAN0000090560" "HOCAN0000052799" "0" "1999" "23490093" "2001" 330 5.7990926545 23
"0" "HOCAN0000092397" "HOCAN0000052799" "0" "2001" "23490093" "2003" 330 5.7990926545 23
"0" "HOCAN0000066738" "HOCAN0000052799" "0" "1996" "35460100" "2002" 392 5.9712618398 23
"0" "HOCAN0000072142" "HOCAN0000052799" "0" "1999" "35490720" "2001" 392 5.9712618398 23
"3" "HOUSA0000600016" "HOCAN0000052799" "1" "2000" "35560027" "2002" 252 5.5294290875 23
"1" "HOUSA0001200334" "HOCAN0000052799" "1" "1997" "35560117" "2001" 63 4.1431347264 23
"0" "HOUSA0000602651" "HOCAN0000052799" "0" "2000" "35600515" "2004" 330 5.7990926545 23
"0" "HOUSA0001264055" "HOCAN0000052799" "0" "1999" "35600515" "2002" 312 5.7430031878 23
"0" "HOUSA0001264057" "HOCAN0000052799" "0" "1999" "35600515" "2002" 330 5.7990926545 23
"0" "HOUSA0001264059" "HOCAN0000052799" "0" "2000" "35600515" "2003" 425 6.0520891689 23
"0" "HOUSA00035WST86" "HOCAN0000052799" "0" "1999" "35600515" "2001" 279 5.6312117818 23
"4" "HOUSA0000504934" "HOCAN0000052799" "1" "1999" "41220175" "2001" 330 5.7990926545 23
"0" "HOUSA0000603091" "HOCAN0000052799" "0" "2000" "51030081" "2003" 366 5.9026333334 23
"0" "HOUSA0002074163" "HOCAN0000052799" "0" "2000" "51030081" "2002" 321 5.7714411231 23
"2" "HOUSA0002075287" "HOCAN0000052799" "1" "2000" "51030081" "2003" 563 6.3332796281 23
"0" "HOUSA0000606764" "HOCAN0000052799" "0" "1999" "93080614" "2001" 330 5.7990926545 23
"0" "HOUSA0000600363" "HOCAN0000052799" "0" "1999" "93540587" "2001" 591 6.3818160174 23
"0" "HOUSA00021ZHZ98" "HOCAN0000053197" "0" "2000" "21090335" "2002" 336 5.81711116 94
"0" "HOUSA0000601547" "HOCAN0000053197" "0" "2000" "21110751" "2002" 283 5.6454468976 94
"0" "HOCAN0000082567" "HOCAN0000053197" "0" "2000" "21180443" "2002" 431 6.0661080901 94
"0" "HOUSA00021ZHY61" "HOCAN0000053197" "0" "2000" "21180443" "2002" 318 5.7620513828 94
"0" "HOUSA0000600216" "HOCAN0000053197" "0" "2000" "21180524" "2002" 564 6.3350542515 94
"0" "HOUSA0000603118" "HOCAN0000053197" "0" "2001" "21180524" "2003" 356 5.8749307309 94
"0" "HOUSA0000603747" "HOCAN0000053197" "0" "2001" "21180524" "2003" 332 5.8051349689 94
"0" "HOUSA0001304811" "HOCAN0000053197" "0" "2000" "21520438" "2002" 282 5.6419070709 94
"0" "HOUSA0001302136" "HOCAN0000053197" "0" "2000" "23070233" "2002" 316 5.7557422136 94
"1" "HOUSA00023EDL70" "HOCAN0000053197" "1" "2001" "23070315" "2003" 343 5.8377304472 94
"0" "HOUSA00023EDL70" "HOCAN0000053197" "0" "2001" "23070315" "2003" 348 5.8522024798 94
"0" "HOUSA00023EDL70" "HOCAN0000053197" "0" "2001" "23070315" "2003" 359 5.8833223885 94
"2" "HOUSA00023EGC74" "HOCAN0000053197" "1" "2002" "23070315" "2004" 262 5.5683445038 94
"0" "HOUSA0000601293" "HOCAN0000053197" "0" "2000" "23280344" "2002" 310 5.7365722975 94
"0" "HOUSA0000608026" "HOCAN0000053197" "0" "2002" "23280344" "2004" 429 6.0614569189 94
"0" "HOUSA0000608026" "HOCAN0000053197" "0" "2002" "23280344" "2004" 343 5.8377304472 94
"0" "HOUSA00023EEL66" "HOCAN0000053197" "0" "2000" "23280344" "2002" 318 5.7620513828 94
"0" "HOUSA00023EEL66" "HOCAN0000053197" "0" "2000" "23280344" "2003" 468 6.1484682959 94
"0" "HOUSA00023EFS35" "HOCAN0000053197" "0" "2002" "23280344" "2004" 303 5.7137328055 94
"0" "HOCAN0000072609" "HOCAN0000053197" "0" "2000" "23490093" "2003" 538 6.2878585602 94
"0" "HOCAN0000092010" "HOCAN0000053197" "0" "2000" "23490093" "2002" 644 6.4676987261 94
"0" "HOUSA0000600394" "HOCAN0000053197" "0" "2000" "23490093" "2002" 359 5.8833223885 94
"0" "HOUSA0000600394" "HOCAN0000053197" "0" "2000" "23490093" "2002" 330 5.7990926545 94
"0" "HOUSA0000600394" "HOCAN0000053197" "0" "2000" "23490093" "2003" 379 5.9375362051 94
"0" "HOUSA0000602953" "HOCAN0000053197" "0" "2001" "23490093" "2003" 313 5.7462031905 94
"0" "HOUSA0000602953" "HOCAN0000053197" "0" "2001" "23490093" "2003" 264 5.5759491031 94
"0" "HOUSA0000602954" "HOCAN0000053197" "0" "2001" "23490093" "2003" 416 6.0306852603 94
"0" "HOUSA0001224182" "HOCAN0000053197" "0" "1998" "23490093" "2004" 330 5.7990926545 94
"0" "HOUSA00034MAB07" "HOCAN0000053197" "0" "1999" "34030977" "2002" 330 5.7990926545 94
"1" "HOCAN0000066895" "HOCAN0000053197" "1" "1996" "35460100" "2001" 318 5.7620513828 94
"0" "HOUSA00035SDV32" "HOCAN0000053197" "0" "1998" "35460100" "2002" 309 5.7333412769 94
"0" "HOUSA0000603982" "HOCAN0000053197" "0" "2000" "35490720" "2002" 483 6.1800166537 94
"0" "HOUSA0000608534" "HOCAN0000053197" "0" "2002" "35490720" "2004" 448 6.1047932324 94
"0" "HOUSA0001304954" "HOCAN0000053197" "0" "2000" "35490720" "2003" 416 6.0306852603 94
"1" "HOUSA0001220846" "HOCAN0000053197" "1" "1999" "35530023" "2004" 293 5.680172609 94
"0" "HOUSA00035SDY16" "HOCAN0000053197" "0" "1999" "35530023" "2004" 341 5.8318824773 94
"0" "HOUSA0000600016" "HOCAN0000053197" "0" "2000" "35560027" "2001" 330 5.7990926545 94
"0" "HOUSA0000600020" "HOCAN0000053197" "0" "2000" "35560027" "2002" 317 5.7589017739 94
"0" "HOUSA0000603286" "HOCAN0000053197" "0" "2000" "35560027" "2002" 330 5.7990926545 94
"0" "HOUSA0000602651" "HOCAN0000053197" "0" "2000" "35600515" "2004" 301 5.7071102647 94
"0" "HOUSA0000602651" "HOCAN0000053197" "0" "2000" "35600515" "2004" 322 5.7745515455 94
"0" "HOUSA0001233509" "HOCAN0000053197" "0" "1998" "35600515" "2001" 316 5.7557422136 94
"0" "HOUSA0001264059" "HOCAN0000053197" "0" "2000" "35600515" "2002" 313 5.7462031905 94
"0" "HOUSA0001264063" "HOCAN0000053197" "0" "2000" "35600515" "2003" 333 5.80814249 94
"2" "HOUSA0001264064" "HOCAN0000053197" "1" "2000" "35600515" "2003" 380 5.9401712527 94
"2" "HOUSA0000514424" "HOCAN0000053197" "1" "2000" "41220175" "2002" 326 5.7868973814 94
"0" "HOUSA0000605890" "HOCAN0000053197" "0" "2001" "41220175" "2003" 70 4.248495242 94
"0" "HOUSA0001238750" "HOCAN0000053197" "0" "1999" "41220175" "2001" 330 5.7990926545 94
"0" "HOUSA0000500311" "HOCAN0000053197" "0" "2000" "41307070" "2002" 330 5.7990926545 94
"0" "HOUSA0000606166" "HOCAN0000053197" "0" "2001" "51030081" "2003" 851 6.7464121286 94
"0" "HOUSA0001265476" "HOCAN0000053197" "0" "1999" "51030081" "2002" 330 5.7990926545 94
"0" "HOUSA0001265480" "HOCAN0000053197" "0" "2000" "51030081" "2003" 441 6.0890448754 94
"1" "HOUSA0001299468" "HOCAN0000053197" "1" "2000" "51030081" "2002" 319 5.7651911028 94
"0" "HOUSA0000602160" "HOCAN0000053197" "0" "2000" "93540587" "2002" 330 5.7990926545 94
"0" "HOUSA0000602160" "HOCAN0000053197" "0" "2000" "93540587" "2002" 318 5.7620513828 94
"0" "HOUSA0000602160" "HOCAN0000053197" "0" "2000" "93540587" "2002" 286 5.6559918108 94
"1" "HOUSA0000602160" "HOCAN0000053197" "1" "2000" "93540587" "2002" 28 3.3322045102 94
"0" "HOUSA0000602160" "HOCAN0000053197" "0" "2000" "93540587" "2002" 331 5.8021183754 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 289 5.6664266881 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 399 5.9889614169 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 382 5.9454206086 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 325 5.7838251823 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 363 5.8944028343 94
"0" "HOUSA0000602161" "HOCAN0000053197" "0" "2000" "93540587" "2002" 286 5.6559918108 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 461 6.133398043 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 281 5.6383546693 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 431 6.0661080901 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 362 5.8916442118 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 108 4.6821312271 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 284 5.6489742382 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 291 5.6733232672 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 433 6.070737728 94
"0" "HOUSA0000602162" "HOCAN0000053197" "0" "2000" "93540587" "2002" 289 5.6664266881 94
